Date,Open,High,Low,Close,Volume
2018-08-01,49.782501,50.439999,49.327499,50.375,271742800
2018-08-02,50.145,52.095001,50.087502,51.8475,249616000
2018-08-03,51.7575,52.185001,51.369999,51.997501,133789600
2018-08-06,52,52.3125,51.767502,52.267502,101701600
2018-08-07,52.330002,52.375,51.689999,51.7775,102349600
2018-08-08,51.512501,51.952499,51.130001,51.8125,90102000
2018-08-09,52.3825,52.445,51.799999,52.220001,93970400
2018-08-10,51.84,52.275002,51.6675,51.8825,98444800
2018-08-13,52.327499,52.737499,51.924999,52.217499,103563600
2018-08-14,52.540001,52.639999,52.064999,52.4375,82992000
2018-08-15,52.305,52.685001,52.0825,52.560001,115230400
2018-08-16,52.9375,53.452499,52.8675,53.330002,114001600
2018-08-17,53.360001,54.487499,53.290001,54.395,141708000
2018-08-20,54.525002,54.794998,53.7775,53.865002,121150800
2018-08-21,54.200001,54.297501,53.5075,53.759998,104639200
2018-08-22,53.525002,54.09,53.459999,53.762501,76072400
2018-08-23,53.662498,54.262501,53.650002,53.872501,75532800
2018-08-24,54.150002,54.224998,53.7775,54.040001,73905600
2018-08-27,54.287498,54.685001,54.0825,54.485001,82100400
2018-08-28,54.752499,55.134998,54.73,54.924999,91107200
2018-08-29,55.037498,55.872501,54.852501,55.744999,109019200
2018-08-30,55.8125,57.064999,55.599998,56.2575,195175200
2018-08-31,56.627499,57.217499,56.5,56.907501,173360400
2018-09-04,57.102501,57.294998,56.657501,57.09,109560400
2018-09-05,57.247501,57.4175,56.275002,56.717499,133332000
2018-09-06,56.557499,56.837502,55.325001,55.775002,137160000
2018-09-07,55.462502,56.342499,55.177502,55.325001,150479200
2018-09-10,55.237499,55.462502,54.1175,54.5825,158066000
2018-09-11,54.502499,56.075001,54.139999,55.962502,142996000
2018-09-12,56.235001,56.25,54.959999,55.267502,197114800
2018-09-13,55.880001,57.087502,55.642502,56.602501,166825600
2018-09-14,56.4375,56.709999,55.630001,55.959999,127997200
2018-09-17,55.537498,55.737499,54.317501,54.470001,148780400
2018-09-18,54.447498,55.462502,54.279999,54.560001,126286800
2018-09-19,54.625,54.904999,53.825001,54.592499,108495200
2018-09-20,55.060001,55.57,54.787498,55.0075,106435200
2018-09-21,55.195,55.34,54.322498,54.415001,384986800
2018-09-24,54.205002,55.314999,54.157501,55.197498,110773600
2018-09-25,54.9375,55.705002,54.924999,55.547501,98217600
2018-09-26,55.25,55.9375,54.939999,55.105,95938800
2018-09-27,55.955002,56.610001,55.884998,56.237499,120724800
2018-09-28,56.197498,56.459999,56.005001,56.435001,91717600
2018-10-01,56.987499,57.355,56.587502,56.814999,94403200
2018-10-02,56.8125,57.5,56.657501,57.32,99152800
2018-10-03,57.512501,58.3675,57.445,58.017502,114619200
2018-10-04,57.695,58.087502,56.682499,56.997501,128168000
2018-10-05,56.990002,57.102501,55.145,56.072498,134322000
2018-10-08,55.552502,56.200001,55.049999,55.942501,118655600
2018-10-09,55.91,56.817501,55.5625,56.717499,107564000
2018-10-10,56.365002,56.587502,54.012501,54.09,167962400
2018-10-11,53.630001,54.875,53.080002,53.612499,212497600
2018-10-12,55.105,55.720001,54.209999,55.5275,161351600
2018-10-15,55.290001,55.4575,54.317501,54.34,123164000
2018-10-16,54.732498,55.747501,54.189999,55.537498,116736000
2018-10-17,55.575001,55.66,54.834999,55.297501,91541600
2018-10-18,54.465,54.935001,53.25,54.005001,130325200
2018-10-19,54.514999,55.314999,54.357498,54.827499,132314800
2018-10-22,54.947498,55.84,54.735001,55.162498,115168400
2018-10-23,53.9575,55.8125,53.674999,55.682499,155071200
